round,client,mse
2,4,0.31431010365486145
2,4,0.31916651129722595
2,6,0.6098765730857849
2,8,0.6851623058319092
2,8,0.7738854289054871
3,9,1.1112079620361328
3,6,0.3297813832759857
3,8,1.1676504611968994
3,4,0.3903559744358063
3,1,0.7126861214637756
4,8,0.5018362402915955
4,3,0.38374051451683044
4,9,0.6761239171028137
4,6,0.6684018969535828
4,4,0.35903048515319824
5,9,0.7054341435432434
5,4,0.469280868768692
5,4,0.9653875231742859
5,6,0.5553419589996338
5,8,0.6009048819541931
6,1,0.6740498542785645
6,9,0.9514757990837097
6,4,0.2950037717819214
6,8,1.1008273363113403
6,6,0.749769389629364
7,4,0.28919678926467896
7,6,0.6422255039215088
7,9,0.5590513348579407
7,1,0.7155072689056396
7,9,1.045552372932434
8,8,0.7966952919960022
8,6,0.3270508646965027
8,4,0.4058704078197479
8,4,0.26451632380485535
8,6,0.6719681620597839
9,1,0.7127103805541992
9,9,0.29384568333625793
9,8,0.3785095512866974
9,4,0.4479864835739136
9,8,0.5680822134017944
10,4,0.3421618640422821
10,6,0.7004600167274475
10,9,0.25707539916038513
10,8,0.835641086101532
10,9,0.35964271426200867
