round,client,mse
2,3,1.1341460943222046
2,1,0.6616982817649841
2,4,0.7162850499153137
2,3,0.6539589166641235
2,1,0.6968106627464294
3,1,0.9432439208030701
3,1,0.3371466100215912
3,3,1.0883116722106934
3,2,0.9251864552497864
3,1,0.4257538318634033
4,3,0.9808716773986816
4,8,0.7724581360816956
4,1,0.502640962600708
4,3,0.6842413544654846
4,7,0.49839553236961365
5,4,1.0042328834533691
5,7,0.6514508128166199
5,1,0.6572182774543762
5,3,0.7229679226875305
5,1,0.45834264159202576
6,4,0.45332765579223633
6,7,0.3072632849216461
6,3,0.9380464553833008
6,6,0.4714394509792328
6,2,0.7818133234977722
7,3,0.5264008641242981
7,1,0.7560818791389465
7,2,0.6279464364051819
7,3,0.5361362099647522
7,4,1.175744891166687
8,1,0.7291603088378906
8,3,0.5038215517997742
8,7,0.4788857400417328
8,3,0.40228256583213806
8,1,1.2517902851104736
9,2,0.7595644593238831
9,1,0.5423017740249634
9,1,0.3171854317188263
9,1,0.46105465292930603
9,4,0.3181611895561218
10,4,0.6140408515930176
10,3,0.33130955696105957
10,7,0.4129572808742523
10,1,0.6031327247619629
10,1,0.3779158592224121
