round,client,mse
2,6,0.8720845580101013
2,9,0.7237029671669006
2,5,1.83966064453125
2,0,0.8668257594108582
2,9,0.43148279190063477
3,6,1.0777581930160522
3,9,1.1974481344223022
3,6,0.5568074584007263
3,1,0.6915574669837952
3,5,0.5394482016563416
4,6,0.8048252463340759
4,5,0.9225053787231445
4,3,0.7330173850059509
4,2,0.7441278100013733
4,9,0.3646862506866455
5,9,0.38708674907684326
5,6,0.4942656457424164
5,9,0.5045482516288757
5,2,0.5461468696594238
5,0,0.4635641574859619
6,6,0.4550444185733795
6,8,0.6344841718673706
6,2,0.6185163855552673
6,9,1.0977603197097778
6,0,0.5996997356414795
7,9,0.598050057888031
7,6,0.7385162711143494
7,6,0.5685568451881409
7,5,0.34026944637298584
7,0,0.4126899242401123
8,2,0.6813433766365051
8,5,0.5546503067016602
8,9,0.8426796793937683
8,6,0.5667384266853333
8,1,0.7321710586547852
9,0,0.499044269323349
9,6,0.6863606572151184
9,9,0.6645334959030151
9,1,0.49483463168144226
9,6,0.854752779006958
10,6,0.9235243201255798
10,5,0.3448421061038971
10,2,0.7564414143562317
10,0,0.5025167465209961
10,1,0.40399324893951416
