round,client,mse
2,4,0.4981595575809479
2,1,0.7372152209281921
2,0,1.358950138092041
2,3,0.7462001442909241
2,7,0.8424674868583679
3,1,0.939802348613739
3,0,0.48352253437042236
3,3,1.0215179920196533
3,6,0.9473788142204285
3,5,0.5275363326072693
4,4,0.4925363063812256
4,3,0.5475531220436096
4,0,0.6729986071586609
4,5,0.7408168911933899
4,7,0.40302956104278564
5,3,0.46209776401519775
5,5,0.6811069846153259
5,1,0.7249917387962341
5,4,0.5184008479118347
5,7,0.4022156000137329
6,5,0.7477656006813049
6,7,0.3024331033229828
6,7,0.613709032535553
6,4,0.7483441829681396
6,5,0.6729285717010498
7,0,1.093907356262207
7,5,0.9958186149597168
7,1,1.1983791589736938
7,4,0.6043967604637146
7,4,0.8025409579277039
8,6,0.5587714314460754
8,5,0.7589302062988281
8,4,0.7001555562019348
8,1,0.6770594120025635
8,7,0.8364097476005554
9,0,0.309466153383255
9,5,1.3110872507095337
9,5,0.5060917139053345
9,3,0.7161202430725098
9,7,0.4030148983001709
10,7,0.908494234085083
10,1,0.7968212962150574
10,3,0.779575765132904
10,4,0.5748876929283142
10,5,0.7146623134613037
