round,client,mse
2,4,0.5246960520744324
2,0,0.62973952293396
2,7,0.5430850982666016
2,9,0.5848056077957153
2,5,0.46932610869407654
3,0,0.9446697235107422
3,7,0.4334753751754761
3,3,1.1131290197372437
3,4,0.6803970336914062
3,9,0.9967109560966492
4,2,0.705213725566864
4,6,0.5146036148071289
4,7,0.5760183930397034
4,5,0.6008378863334656
4,9,0.3277308940887451
5,4,1.0687848329544067
5,5,0.6403225064277649
5,0,0.7431920170783997
5,9,0.5244438052177429
5,6,0.46835169196128845
6,0,0.407946914434433
6,6,0.7070050239562988
6,7,0.7299292087554932
6,0,0.45435118675231934
6,5,0.6303775906562805
7,7,0.564216673374176
7,0,0.7658112645149231
7,0,0.551010012626648
7,9,0.3499314785003662
7,5,0.8465601801872253
8,9,0.9057760834693909
8,6,0.6479892134666443
8,3,0.40672338008880615
8,7,0.48115405440330505
8,5,0.25106751918792725
9,0,0.49505528807640076
9,3,0.6156014204025269
9,0,0.3640660047531128
9,4,0.5495932698249817
9,9,0.5001175403594971
10,9,0.7882408499717712
10,3,0.39483776688575745
10,0,0.47140732407569885
10,7,0.5697082877159119
10,6,0.4734114110469818
